date,sunshine_duration,uv_index_max,precipitation_sum,shortwave_radiation_sum,precipitation_hours,daylight_duration
11/01/16,,,,,0.0,38317.61
11/02/16,,,,,0.0,38195.367
11/03/16,,,,,0.0,38074.5
11/04/16,,,,,0.0,37955.14
11/05/16,,,,,0.0,37837.43
11/06/16,,,,,0.0,37721.508
11/07/16,,,,,0.0,37607.523
11/08/16,,,,,0.0,37495.613
11/09/16,,,,,0.0,37385.938
11/10/16,,,,,0.0,37278.13
11/11/16,,,,,0.0,37171.227
11/12/16,,,,,0.0,37065.32
11/13/16,,,,,0.0,36960.53
11/14/16,,,,,0.0,36856.984
11/15/16,,,,,0.0,36754.8
11/16/16,,,,,0.0,36654.12
11/17/16,,,,,0.0,36555.066
11/18/16,,,,,0.0,36457.777
11/19/16,,,,,0.0,36362.375
11/20/16,,,,,0.0,36269.008
11/21/16,,,,,0.0,36177.81
11/22/16,,,,,0.0,36088.92
11/23/16,,,,,0.0,36002.492
11/24/16,,,,,0.0,35918.656
11/25/16,,,,,0.0,35837.562
11/26/16,,,,,0.0,35759.363
11/27/16,,,,,0.0,35684.19
11/28/16,,,,,0.0,35612.22
11/29/16,,,,,0.0,35543.57
11/30/16,,,,,0.0,35478.03
12/01/16,,,,,0.0,35414.9
12/02/16,,,,,0.0,35354.223
12/03/16,,,,,0.0,35296.086
12/04/16,,,,,0.0,35240.56
12/05/16,,,,,0.0,35187.715
12/06/16,,,,,0.0,35137.65
12/07/16,,,,,0.0,35090.41
12/08/16,,,,,0.0,35046.098
12/09/16,,,,,0.0,35004.78
12/10/16,,,,,0.0,34966.53
12/11/16,,,,,0.0,34931.426
12/12/16,,,,,0.0,34899.54
12/13/16,,,,,0.0,34870.94
12/14/16,,,,,0.0,34845.71
12/15/16,,,,,0.0,34823.91
12/16/16,,,,,0.0,34805.613
12/17/16,,,,,0.0,34790.89
12/18/16,,,,,0.0,34779.805
12/19/16,,,,,0.0,34772.418
12/20/16,,,,,0.0,34768.75
12/21/16,,,,,0.0,34768.703
12/22/16,,,,,0.0,34772.227
12/23/16,,,,,0.0,34779.28
12/24/16,,,,,0.0,34789.836
12/25/16,,,,,0.0,34803.832
12/26/16,,,,,0.0,34821.23
12/27/16,,,,,0.0,34841.984
12/28/16,,,,,0.0,34866.047
12/29/16,,,,,0.0,34893.36
12/30/16,,,,,0.0,34923.883
12/31/16,,,,,0.0,34957.555
01/01/17,,,,,0.0,34994.332
01/02/17,,,,,0.0,35034.152
01/03/17,,,,,0.0,35076.973
01/04/17,,,,,0.0,35122.723
01/05/17,,,,,0.0,35171.35
01/06/17,,,,,0.0,35222.81
01/07/17,,,,,0.0,35277.035
01/08/17,,,,,0.0,35333.97
01/09/17,,,,,0.0,35393.867
01/10/17,,,,,0.0,35457.293
01/11/17,,,,,0.0,35524.13
01/12/17,,,,,0.0,35594.227
01/13/17,,,,,0.0,35667.45
01/14/17,,,,,0.0,35743.656
01/15/17,,,,,0.0,35822.703
01/16/17,,,,,0.0,35904.46
01/17/17,,,,,0.0,35988.785
01/18/17,,,,,0.0,36075.54
01/19/17,,,,,0.0,36164.59
01/20/17,,,,,0.0,36255.805
01/21/17,,,,,0.0,36349.047
01/22/17,,,,,0.0,36444.195
01/23/17,,,,,0.0,36541.117
01/24/17,,,,,0.0,36639.688
01/25/17,,,,,0.0,36739.785
01/26/17,,,,,0.0,36841.28
01/27/17,,,,,0.0,36944.062
01/28/17,,,,,0.0,37048.008
01/29/17,,,,,0.0,37153.496
01/30/17,,,,,0.0,37261.465
01/31/17,,,,,0.0,37371.79
02/01/17,,,,,0.0,37484.312
02/02/17,,,,,0.0,37598.88
02/03/17,,,,,0.0,37715.348
02/04/17,,,,,0.0,37833.562
02/05/17,,,,,0.0,37953.395
02/06/17,,,,,0.0,38074.688
02/07/17,,,,,0.0,38197.31
02/08/17,,,,,0.0,38321.117
02/09/17,,,,,0.0,38445.984
02/10/17,,,,,0.0,38571.777
02/11/17,,,,,0.0,38698.37
02/12/17,,,,,0.0,38825.63
02/13/17,,,,,0.0,38953.434
02/14/17,,,,,0.0,39081.66
02/15/17,,,,,0.0,39210.195
02/16/17,,,,,0.0,39338.91
02/17/17,,,,,0.0,39467.69
02/18/17,,,,,0.0,39596.95
02/19/17,,,,,0.0,39727.65
02/20/17,,,,,0.0,39859.715
02/21/17,,,,,0.0,39993.023
02/22/17,,,,,0.0,40127.45
02/23/17,,,,,0.0,40262.88
02/24/17,,,,,0.0,40399.2
02/25/17,,,,,0.0,40536.293
02/26/17,,,,,0.0,40674.047
02/27/17,,,,,0.0,40812.355
02/28/17,,,,,0.0,40951.1
03/01/17,,,,,0.0,41090.188
03/02/17,,,,,0.0,41229.496
03/03/17,,,,,0.0,41368.926
03/04/17,,,,,0.0,41508.38
03/05/17,,,,,0.0,41647.746
03/06/17,,,,,0.0,41786.92
03/07/17,,,,,0.0,41925.812
03/08/17,,,,,0.0,42064.312
03/09/17,,,,,0.0,42202.316
03/10/17,,,,,0.0,42340.203
03/11/17,,,,,0.0,42478.887
03/12/17,,,,,0.0,42618.293
03/13/17,,,,,0.0,42758.344
03/14/17,,,,,0.0,42898.934
03/15/17,,,,,0.0,43039.973
03/16/17,,,,,0.0,43181.38
03/17/17,,,,,0.0,43323.05
03/18/17,,,,,0.0,43464.902
03/19/17,,,,,0.0,43606.84
03/20/17,,,,,0.0,43748.77
03/21/17,,,,,0.0,43890.61
03/22/17,,,,,0.0,44032.266
03/23/17,,,,,0.0,44173.645
03/24/17,,,,,0.0,44314.652
03/25/17,,,,,0.0,44455.203
03/26/17,,,,,0.0,44595.19
03/27/17,,,,,0.0,44734.543
03/28/17,,,,,0.0,44873.14
03/29/17,,,,,0.0,45010.906
03/30/17,,,,,0.0,45148.18
03/31/17,,,,,0.0,45285.8
04/01/17,,,,,0.0,45423.727
04/02/17,,,,,0.0,45561.863
04/03/17,,,,,0.0,45700.125
