time,cloud_cover,global_tilted_irradiance,proportion_daytime
2007-01-27 17:00:00,0.64,0.0,1.0
2007-01-27 18:00:00,0.68,0.0,1.0
2007-01-27 19:00:00,0.35,0.0,1.0
2007-01-27 20:00:00,0.14,0.0,1.0
2007-01-27 21:00:00,0.0,0.0,1.0
2007-01-27 22:00:00,0.0,0.0,1.0
2007-01-27 23:00:00,0.0,0.0,1.0
2007-01-28 00:00:00,0.01,0.0,0.0
2007-01-28 01:00:00,0.01,0.0,0.0
2007-01-28 02:00:00,0.01,0.0,0.0
2007-01-28 03:00:00,0.01,0.0,0.0
2007-01-28 04:00:00,0.02,0.0,0.0
2007-01-28 05:00:00,0.02,0.0,0.0
2007-01-28 06:00:00,0.01,0.0,0.0
2007-01-28 07:00:00,0.01,115.943146,0.7994444444444444
2007-01-28 08:00:00,0.0,443.3345,1.0
2007-01-28 09:00:00,0.02,727.1959,1.0
2007-01-28 10:00:00,0.01,923.9295,1.0
2007-01-28 11:00:00,0.0,1040.8855,1.0
2007-01-28 12:00:00,0.0,1061.4647,1.0
2007-01-28 13:00:00,0.0,990.9548,1.0
2007-01-28 14:00:00,0.0,833.482,1.0
2007-01-28 15:00:00,0.0,595.65607,1.0
2007-01-28 16:00:00,0.0,297.62112,1.0
2007-01-28 17:00:00,0.0,0.0,0.24805555555555556
2007-01-28 18:00:00,0.0,0.0,0.0
2007-01-28 19:00:00,0.08,0.0,0.0
2007-01-28 20:00:00,0.59,0.0,0.0
2007-01-28 21:00:00,0.17,0.0,0.0
2007-01-28 22:00:00,0.01,0.0,0.0
2007-01-28 23:00:00,0.0,0.0,0.0
2007-01-29 00:00:00,0.0,0.0,0.0
2007-01-29 01:00:00,0.0,0.0,0.0
2007-01-29 02:00:00,0.0,0.0,0.0
2007-01-29 03:00:00,0.0,0.0,0.0
2007-01-29 04:00:00,0.0,0.0,0.0
2007-01-29 05:00:00,0.0,0.0,0.0
2007-01-29 06:00:00,0.0,0.0,0.0
2007-01-29 07:00:00,0.0,114.532166,0.8133333333333334
2007-01-29 08:00:00,0.0,446.29895,1.0
2007-01-29 09:00:00,0.0,710.2007,1.0
2007-01-29 10:00:00,0.0,915.6583,1.0
2007-01-29 11:00:00,0.0,1021.46625,1.0
2007-01-29 12:00:00,0.0,1043.8862,1.0
2007-01-29 13:00:00,0.0,951.47003,1.0
2007-01-29 14:00:00,0.0,818.53107,1.0
2007-01-29 15:00:00,0.01,587.0542,1.0
2007-01-29 16:00:00,0.02,273.2387,1.0
2007-01-29 17:00:00,0.02,0.0,0.26805555555555555
2007-01-29 18:00:00,0.35,0.0,0.0
